order_id,order_date,user_id,country,customer_gender,customer_age,traffic_source,department,category,brand,product_name,revenue,cost,profit
72,2025-09-08,51,United Kingdom,M,63,Email,Men,Underwear,C-IN2,C-in2 Men's Core Basic Lo No Show Profile Brief with Sling,18.0,7.69,10.31
72,2025-09-07,51,United Kingdom,M,63,Email,Men,Jeans,UNIONBAY,Unionbay Men's Relaxed 5 Pocket Denim Jean,25.0,12.72,12.28
73,2024-11-24,51,United Kingdom,M,63,Email,Men,Fashion Hoodies & Sweatshirts,DTA SECURED BY ROGUE STATUS,DTA SECURED BY ROGUE STATUS Men's Bad Streak Long Sleeve Hoo,55.95,31.78,24.17
93,2025-02-16,63,France,F,27,Search,Women,Jeans,Not Your Daughter's Jeans,Not Your Daughter's Jeans Women's Plus-Size Hayden Modern Bo,118.0,66.32,51.68
94,2024-11-16,63,France,F,27,Search,Women,Dresses,US Fairytailes,Special Sale!!! One Shoulder Cocktail Party Junior Prom Dres,69.99,31.78,38.21
95,2025-11-21,63,France,F,27,Search,Women,Jeans,Lucky Brand,Lucky Brand Women's Sweet N Low Jean,79.5,39.19,40.31
96,2025-06-12,64,Spain,M,42,Search,Men,Tops & Tees,Van Heusen,Van Heusen Men's Wrinkle-Free Long Sleeve Dress Shirt. 56800,43.3,26.28,17.02
101,2024-06-28,72,United States,M,28,Search,Men,Sweaters,Port Authority,Port Authority Interlock Knit Mock Turtleneck,33.77,15.43,18.34
110,2025-07-15,83,Australia,F,27,Organic,Women,Pants & Capris,Alfred Dunner,Alfred Dunner Classics Petite Elastic Waist Pants,22.99,12.67,10.32
114,2024-01-31,85,China,F,44,Search,Women,Pants & Capris,Jones New York,Jones New York Women's Petite Button Front Pant,50.46,26.49,23.97
118,2024-06-26,89,China,M,27,Search,Men,Jeans,Joe's Jeans,Joe's Jeans Men's Brixton Jean,189.0,94.5,94.5
119,2024-03-02,90,United States,M,59,Search,Men,Sleep & Lounge,Maple Clothing,Mens Traditional Indian Clothing Silk Kurta Pajama with Embr,85.0,34.85,50.15
119,2024-03-06,90,United States,M,59,Search,Men,Fashion Hoodies & Sweatshirts,Alternative,AA9590 Alternative Unisex 6.4 oz Rocky Full-Zip Hoodie,49.99,29.94,20.05
120,2025-06-10,91,United Kingdom,M,62,Email,Men,Pants,Concitor,Concitor Men's Dress Pants Slacks Flat Front Trousers Orange,29.95,12.34,17.61
120,2025-06-11,91,United Kingdom,M,62,Email,Men,Swim,Comune,Comune Men's Lukas Short,43.5,25.01,18.49
122,2025-02-25,92,United States,M,38,Email,Men,Jeans,Diesel,Diesel Men's Thavar Skinny Straight Leg Jean,258.0,131.32,126.68
122,2025-02-23,92,United States,M,38,Email,Men,Pants,Geoffrey Beene,Geoffrey Beene Men's Flat Front Extender Waist Dress Pants,29.99,12.81,17.18
122,2025-02-24,92,United States,M,38,Email,Men,Outerwear & Coats,Yukon,Yukon Gear Men's Blaze Orange 3N1 Insulated Parka Jacket,119.0,47.24,71.76
122,2025-02-25,92,United States,M,38,Email,Men,Jeans,Levi's,Levi's Men's Line 8 508 Regular Tapered Leg Jean,53.0,29.79,23.21
124,2024-11-25,92,United States,M,38,Email,Men,Pants,BERLE,Berle Mens Pleated Dress Pants Dark Charcoal Worsted Wool Tr,55.0,25.63,29.37
125,2024-07-20,93,China,F,54,Search,Women,Active,Sports Katz,Sport It Bra,15.99,6.68,9.31
127,2025-01-05,94,China,F,15,Search,Women,Swim,Volcom,Volcom Juniors Foster Gal 11 Inch Boardshort,43.95,17.05,26.9
128,2024-11-14,94,China,F,15,Search,Women,Skirts,Jones New York,Jones New York Women's Pleated Skirt,89.0,33.29,55.71
128,2024-11-13,94,China,F,15,Search,Women,Outerwear & Coats,Arc'teryx,Arc'teryx Women's Beta AR Jacket,475.0,205.2,269.8
132,2025-09-16,97,United States,F,66,Search,Women,Fashion Hoodies & Sweatshirts,Reebok,Kansas City Chiefs NFL Womens Red Fierce Quilted Pullover Ho,32.95,16.34,16.61
132,2025-09-16,97,United States,F,66,Search,Women,Leggings,SK Hat shop,Sexy Animal Print Full Leggings Stretch Footless Black,9.95,6.34,3.61
137,2024-09-29,101,United States,F,27,Search,Women,Dresses,Patty,Patty Women Comfy Black Hoodie Cable Jumper Knit Casual Part,57.98,24.82,33.16
139,2025-10-28,103,United States,M,46,Search,Men,Accessories,TheTieBar,100% Silk Woven Colorful Gingham Earth Self-Tie Bow Tie,15.99,6.67,9.32
139,2025-10-25,103,United States,M,46,Search,Men,Socks,Diabetic Care,Diabetic Care Quarter Socks,14.95,9.27,5.68
140,2025-10-30,104,Brasil,M,14,Email,Men,Sweaters,Marc New York by Andrew Marc,Marc New York Men's 1/4 Zip Ribbed Sweater,69.5,33.71,35.79
142,2024-09-17,105,China,F,15,Search,Women,Socks & Hosiery,Nvie Designs,Womens Over The Knee Socks - Ribbon - Colors Available,11.99,4.68,7.31
145,2025-05-13,106,United States,M,12,Search,Men,Swim,Quiksilver,Quiksilver Men's Manic Boardshort,44.51,27.69,16.82
151,2025-09-07,111,China,F,13,Search,Women,Jeans,Omega,Women's Omega Skinny Stratch Jeans- Criss Cross 1,12.99,6.78,6.21
151,2025-09-10,111,China,F,13,Search,Women,Skirts,FineBrandShop,Black Shiny Liquid Mini Skirt Elastic Waist Band,19.95,8.0,11.95
156,2024-01-11,116,United States,M,50,Search,Men,Active,Carhartt,Carhartt Mens Heavyweight Hooded Sweatshirt,79.95,33.18,46.77
159,2024-01-11,117,United States,M,49,Organic,Men,Accessories,DECKY,Black Solid Campus Jeep Cap Visor Beanie Ski Cap Caps Hat Ha,10.7,3.92,6.78
159,2024-01-12,117,United States,M,49,Organic,Men,Swim,Billabong,Billabong Boxing Board Short - Men's,54.98,34.09,20.89
163,2025-10-01,120,United States,F,49,Organic,Women,Socks & Hosiery,Angelina,Angelina Criss-cross Floral Pattern Spandex Fishnet Pantyhos,8.99,3.84,5.15
165,2025-12-19,122,China,M,60,Search,Men,Pants,Kenneth Cole REACTION,Kenneth Cole Reaction Mens Grey Stripe Suit Separate Pant,49.99,21.3,28.69
166,2025-09-23,123,Germany,M,70,Display,Men,Socks,Richer Poorer,Richer Poorer Men's Outlaw Socks,12.0,6.86,5.14
167,2025-05-05,124,United States,F,19,Search,Women,Fashion Hoodies & Sweatshirts,American Apparel,American Apparel Unisex Nantucket Fleece Zip Hoodie,52.0,22.78,29.22
174,2025-08-23,126,Brasil,M,63,Facebook,Men,Swim,Gary Majdell Sport,Mens Varsity Aussie Rower Boxer Swimsuit Gary Majdell Sport,21.97,13.91,8.06
179,2024-09-17,129,United States,F,14,Search,Women,Sweaters,Ibex,Ibex Women's Nomad 1/2 Zip Jacket,159.95,70.38,89.57
179,2024-09-19,129,United States,F,14,Search,Women,Maternity,Motherhood Maternity,Motherhood Maternity: Wrap Nursing Sleep Bra,18.98,8.2,10.78
179,2024-09-18,129,United States,F,14,Search,Women,Active,Devon & Jones,Devon & Jones Women's Short Sleeve Dri-Fast Advantage Pique ,30.58,13.36,17.22
179,2024-09-19,129,United States,F,14,Search,Women,Swim,Bloom's Outlet,Bloom's Outlet Sexy Brazilian Metallic Halter Top & Scrunch ,16.99,6.52,10.47
183,2025-12-04,130,Germany,F,31,Search,Women,Maternity,Olian,The Olian 5pc. Nursing Pj Gift Box Set.,119.0,49.27,69.73
183,2025-12-01,130,Germany,F,31,Search,Women,Intimates,Calvin Klein,Calvin Klein Women's Essentials Tank with Shelf  #S1273,27.0,14.77,12.23
184,2025-06-23,131,Germany,F,27,Display,Women,Sleep & Lounge,Juicy Couture,Juicy Couture Velour Bootleg Pant With Snap Pockets (JGM0005,120.0,74.28,45.72
188,2025-04-19,134,France,F,23,Search,Women,Pants & Capris,Alfred Dunner,Alfred Dunner Bella Luna Flat Front Pants,29.99,16.4,13.59
188,2025-04-19,134,France,F,23,Search,Women,Maternity,Allegra K,Allegra K S Pale Green Cable Knitted Single Breasted Sweater,19.67,8.26,11.41
189,2025-01-04,135,Brasil,M,40,Search,Men,Outerwear & Coats,HQ ISSUE,HQ ISSUE Duty Jacket,59.99,25.2,34.79
193,2025-01-12,138,France,M,45,Organic,Men,Tops & Tees,Tommy Hilfiger,Tommy Hilfiger Mens Classic Fit Short Sleeve T-Shirt,31.99,17.88,14.11
195,2025-08-24,139,China,F,50,Search,Women,Intimates,Bali,Lace Desire Minimizer Underwire,34.0,19.14,14.86
196,2025-03-13,140,United States,M,60,Facebook,Men,Pants,KR3W,KR3W K Slim Chino Pants - Coffee,63.99,26.68,37.31
201,2025-03-05,145,China,M,38,Search,Men,Jeans,Calvin Klein Jeans,Calvin Klein Jeans Men's Relaxed Straight Jean,49.5,27.57,21.93
201,2025-03-04,145,China,M,38,Search,Men,Pants,Haggar,Haggar Men's C18 Slim Fit Flat Front Sport Pant,39.99,16.96,23.03
201,2025-03-02,145,China,M,38,Search,Men,Pants,Worn Jeans,Worn Men's Havasu Trouser,89.5,39.74,49.76
201,2025-03-05,145,China,M,38,Search,Men,Fashion Hoodies & Sweatshirts,Black Market-Lowbrow,Men's Eve Tattooed Woman in Garden of Eden by Jarad Bryant B,48.95,24.77,24.18
203,2025-12-28,146,United States,F,27,Search,Women,Skirts,VIP BOUTIQUE,VIP Boutique Womens Belted Gypsy Long Maxi Skirt,20.99,7.49,13.5
204,2025-12-16,148,United States,M,32,Facebook,Men,Swim,Speedo,Speedo Men's Lifeguard 21 Boardshort,25.0,14.83,10.17
207,2025-08-22,150,Brasil,M,15,Organic,Men,Tops & Tees,Quiksilver,Quiksilver Waterman Men's Magnets Woven Shirt,55.0,28.98,26.02
208,2024-05-10,150,Brasil,M,15,Organic,Men,Underwear,Diesel,Diesel Men's Shawn Boxer,22.0,10.91,11.09
208,2024-05-09,150,Brasil,M,15,Organic,Men,Sleep & Lounge,Majestic International,Majestic International Men's Del Mar Woven Kimono,34.97,14.41,20.56
210,2025-07-11,152,Brasil,M,49,Organic,Men,Underwear,Ralph Lauren,Polo Ralph Lauren Classic Cotton Crew T-Shirt 3-Pack,37.99,17.21,20.78
211,2025-01-30,152,Brasil,M,49,Organic,Men,Underwear,Ed Hardy,Ed Hardy Men's Panther 2 Pack Boxer Brief,14.99,7.44,7.55
212,2024-04-13,153,China,M,62,Display,Men,Socks,Dr. Scholl's,Dr. Scholl's Men's Everyday Non-binding Flat Knit Crew 2 Pai,25.0,16.2,8.8
214,2025-05-01,154,South Korea,F,26,Search,Women,Pants & Capris,Teezâˆ’Her,Teez-Her Skinny Capri Pants,40.0,20.76,19.24
219,2025-02-24,157,Brasil,F,63,Search,Women,Blazers & Jackets,Yoana Baraschi,Yoana Baraschi Women's Boyfriend Blazer,343.0,138.57,204.43
219,2025-02-22,157,Brasil,F,63,Search,Women,Blazers & Jackets,MAXSTUDIO,MAXSTUDIO SILK & COTTON TAILORED JACKET,348.0,135.37,212.63
220,2024-01-06,157,Brasil,F,63,Search,Women,Intimates,Olga,Olga Women's Luxury Lift Minimizer Bra,44.47,21.83,22.64
224,2025-03-13,163,United States,F,34,Search,Women,Fashion Hoodies & Sweatshirts,Fox,Fox Womens Juniors Trials Pullover Hoody Sweater,59.5,28.8,30.7
231,2025-04-30,169,South Korea,F,29,Search,Women,Pants & Capris,Calvin Klein Jeans,Calvin Klein Jeans Women's Ultimate Skinny Power Stretch Cor,79.5,39.19,40.31
231,2025-04-30,169,South Korea,F,29,Search,Women,Intimates,Fruit of the Loom,Fruit of the Loom Women's 3-Pack Cotton Stretch Bikinis,13.0,7.14,5.86
232,2024-12-09,170,China,M,20,Search,Men,Tops & Tees,Dickies,Dickies LL535 Men's Industrial Long Sleeve Work Shirt,105.5,56.76,48.74
234,2025-05-17,170,China,M,20,Search,Men,Fashion Hoodies & Sweatshirts,Allegra K,Allegra K Mens Korean Zipped Pockets Zipper Decor Design Fal,20.66,11.18,9.48
237,2025-06-05,172,Brasil,F,21,Email,Women,Intimates,Eberjey,Eberjey Colette Racerback Bralette Black,58.95,33.19,25.76
242,2024-02-22,176,China,M,44,Search,Men,Sleep & Lounge,Acura,Black and Red Plaid Flannel Bath Robe for Men,17.99,7.75,10.24
243,2025-01-19,177,Japan,F,47,Organic,Women,Swim,Freya,Freya Fever Molded Underwire Bra Top,56.0,23.35,32.65
247,2025-04-30,181,Germany,M,63,Facebook,Men,Accessories,Fox Racing,FOX Men's Legacy Hat,25.99,11.33,14.66
248,2024-06-10,181,Germany,M,63,Facebook,Men,Underwear,Calvin Klein,Calvin Klein Men's Basic Brief 3-Pack,36.33,17.91,18.42
250,2025-12-24,182,China,M,41,Display,Men,Accessories,Calvin Klein,Calvin Klein Men's Logo Scarf,31.36,11.6,19.76
252,2024-08-01,185,South Korea,F,16,Display,Women,Active,Life Is Good,Life is good Jackie Jog Women's T-Shirt,30.0,12.57,17.43
253,2024-08-16,186,Brasil,F,61,Search,Women,Leggings,Yelete,Seamless Black Leggings,8.99,5.29,3.7
263,2025-09-12,191,China,M,26,Search,Men,Accessories,Gem Avenue,Leather Cover Passport Holder Travel Wallet with Logo Availa,11.99,5.1,6.89
264,2025-10-02,192,Spain,M,39,Search,Men,Fashion Hoodies & Sweatshirts,ZOO YORK,Zoo York Men's Hunters Point Sublimation Hoodie,41.95,23.79,18.16
265,2024-05-29,193,United Kingdom,M,67,Search,Men,Shorts,Paul Fredrick,Paul Fredrick Flat Front Cotton Twill Cargo Shorts,89.5,43.14,46.36
266,2024-05-11,194,China,M,31,Search,Men,Jeans,575 Denim,New 575 Denim Men's Jeans Dark Wash Relaxed Straight Leg M3N,89.99,45.8,44.19
273,2025-07-30,196,United States,F,39,Search,Women,Intimates,Commando,Commando Mini Cami Slip Black,72.0,35.42,36.58
275,2025-09-04,198,Germany,F,68,Search,Women,Intimates,Sweetheart Slips,New 2 Bone Bridal Taffeta Hoop Skirt Bridal Petticoat Weddin,23.95,12.72,11.23
280,2024-12-13,204,Japan,M,58,Facebook,Men,Socks,Bridgedale,Bridgedale Xhale Trailhead Socks,16.95,9.66,7.29
280,2024-12-14,204,Japan,M,58,Facebook,Men,Suits & Sport Coats,King Formal Wear,Stylish Men's Two Gold Button Red Sport Jacket Sport Blazer,69.99,29.26,40.73
282,2024-08-04,204,Japan,M,58,Facebook,Men,Socks,adidas,adidas Men's Casuals Crew Cushioned Socks (3-Pack),15.0,9.48,5.52
283,2024-06-29,204,Japan,M,58,Facebook,Men,Fashion Hoodies & Sweatshirts,Fox,Fox Men's Outfoxed Zip Front Fleece,69.5,38.02,31.48
285,2024-03-31,206,France,F,52,Search,Women,Maternity,Anew,Anew Cinch Couture Pouchless Tummy Wrap Just-For-Me Package.,84.28,39.95,44.33
286,2024-04-27,206,France,F,52,Search,Women,Maternity,Impact Fitness,Impact Fitness - Maternity Momentum Capri Fitted Under Belly,62.0,27.84,34.16
286,2024-04-29,206,France,F,52,Search,Women,Swim,Marina West,Tankini Swimsuit Set Graphic PatternTop & Bottom Mosaic,35.99,15.94,20.05
296,2024-05-10,215,China,F,38,Search,Women,Shorts,Oakley,Oakley Walk Shorts Black Womens,54.95,26.38,28.57
296,2024-05-13,215,China,F,38,Search,Women,Leggings,boxed-gifts,'Sexy Legs' Floral Print Fashion Leggings,4.99,2.92,2.07
296,2024-05-14,215,China,F,38,Search,Women,Sweaters,eloquii,eloquii Plus Size Striped Colorblock Cardigan,35.94,17.47,18.47
296,2024-05-11,215,China,F,38,Search,Women,Leggings,High Style,Women's Zipper Accent Stretch Jean Leggings,25.0,16.05,8.95
297,2024-10-25,217,China,F,46,Search,Women,Accessories,Isotoner,Isotoner Women's Irish Cable Flip Top Gloves,20.8,8.96,11.84
297,2024-10-21,217,China,F,46,Search,Women,Pants & Capris,Krazy,Krazy Larry Pull on Ankle Pants,125.0,62.63,62.37
298,2024-11-26,217,China,F,46,Search,Women,Intimates,Hanes,Hanes Women's TAGLESSÂ® Lightweight Ribbed Tanks White 2-Pac,10.08,5.26,4.82
300,2025-12-11,218,China,F,46,Search,Women,Jeans,Lucky Brand,Lucky Brand Women's Sweet N Straight Crop Mid Rise,89.5,51.19,38.31
306,2024-06-07,226,Spain,M,54,Search,Men,Sweaters,Wool Overs,Mens Cashmere & Cotton Cable Crew Neck Sweater,42.0,21.59,20.41
306,2024-06-06,226,Spain,M,54,Search,Men,Shorts,ANS,Vintage Camouflage Shorts Camo Utility Cargo Shorts,34.5,18.11,16.39
308,2025-09-29,227,Japan,M,17,Search,Men,Accessories,Storus Corporation,Storus Smart Black Matte Money Clip,29.95,13.21,16.74
309,2025-07-16,227,Japan,M,17,Search,Men,Jeans,Agave,Agave Men's Waterman Relaxed Fit Straight Leg Jean,205.0,110.7,94.3
309,2025-07-19,227,Japan,M,17,Search,Men,Shorts,Dickies,Dickies WR298 13-inch Slim Fit Cut-Off Short,39.99,20.63,19.36
309,2025-07-17,227,Japan,M,17,Search,Men,Accessories,District,District Comfortable Slouch Beanie. DT618,5.99,2.17,3.82
309,2025-07-16,227,Japan,M,17,Search,Men,Outerwear & Coats,Nautica,Nautica Wool Blend Car Coat,109.99,49.28,60.71
310,2025-05-18,228,Japan,F,63,Search,Women,Plus,Nine West,Nine West Women's Textured Rib And Solid Flat Knit Knee High,18.0,9.72,8.28
313,2025-05-17,232,United Kingdom,F,27,Search,Women,Jeans,LA Idol,LA Idol Jeans - Crystal Fleur De Lis Design,79.99,41.35,38.64
316,2025-07-24,235,China,M,51,Organic,Men,Sleep & Lounge,Briefly Stated,Briefly Stated Men's Striker Ent Angry Birds Pant,25.0,9.47,15.53
326,2025-09-24,244,China,F,47,Search,Women,Skirts,G by GUESS,G by GUESS Charmer Mini Skirt,39.5,17.22,22.28
328,2025-09-20,245,United States,F,45,Search,Women,Intimates,DesignSK,Bride Bridesmaid Elegant Side Rhinestone Hair Comb by Design,16.5,9.34,7.16
328,2025-09-19,245,United States,F,45,Search,Women,Dresses,Jessica Simpson,Jessica Simpson Women's Sweater Top Combo Dress,128.0,53.63,74.37
328,2025-09-20,245,United States,F,45,Search,Women,Jumpsuits & Rompers,BCBGeneration,BCBGeneration Women's Blouson Tie Romper Short,25.0,14.45,10.55
328,2025-09-20,245,United States,F,45,Search,Women,Sleep & Lounge,Turquoise,Cotton Zero-Twist Terry Robe,69.59,40.85,28.74
338,2025-11-01,251,United States,F,66,Search,Women,Sleep & Lounge,Casual Moments,Casual Moments Women's 52 Breakaway Zip,84.0,53.68,30.32
339,2024-02-10,253,Belgium,M,20,Organic,Men,Socks,Kenneth Cole,Kenneth Cole Men's Solid Flat Knit 3 Pack Socks,25.0,13.78,11.22
339,2024-02-13,253,Belgium,M,20,Organic,Men,Underwear,Gregg Homme,Gregg Homme Tear Away Thong.,16.97,8.09,8.88
349,2025-01-02,262,United States,F,52,Organic,Women,Pants & Capris,Krazy,Krazy Larry Pull on Ankle Pants,125.0,62.63,62.37
350,2025-04-22,262,United States,F,52,Organic,Women,Leggings,Jolt,Jolt Juniors Skinny Pant,27.78,17.08,10.7
355,2024-05-30,269,United States,F,57,Search,Women,Jeans,G by GUESS,G by GUESS Celeste Super Skinny Jeans - Overdye Bla,54.5,29.05,25.45
356,2025-12-03,269,United States,F,57,Search,Women,Jumpsuits & Rompers,Allegra K,Allegra K Lady Scoop Neck Sleeveless Elastic Waist Romper w ,15.75,8.0,7.75
357,2025-03-10,271,Brasil,M,68,Organic,Men,Outerwear & Coats,Calvin Klein,Calvin Klein Men's Slim Fit Coat,175.0,85.58,89.42
357,2025-03-06,271,Brasil,M,68,Organic,Men,Sweaters,Comune,Comune Men's Sawyer Hooded Pullover,58.0,30.1,27.9
364,2024-03-05,277,China,M,12,Search,Men,Underwear,Hanes,Hanes Men's 4 Pack Classics Woven Printed Boxers,26.43,12.66,13.77
364,2024-03-04,277,China,M,12,Search,Men,Jeans,Levi's,Levi's Men's 514 Slim Straight Leg Leveler Jean,53.0,30.0,23.0
365,2025-11-14,278,Australia,M,28,Search,Men,Outerwear & Coats,Members Only,Members Only Men's Iconic Classic Racer,78.0,37.44,40.56
365,2025-11-14,278,Australia,M,28,Search,Men,Socks,Reebok,Reebok Men's 3 Pack Vector Low Cut Sock,12.0,7.18,4.82
365,2025-11-15,278,Australia,M,28,Search,Men,Pants,Dickies,Dickies TP2477 Men's Sanded Duck Insulated Pant,76.99,38.03,38.96
367,2025-05-08,279,China,M,26,Organic,Men,Outerwear & Coats,SmartWool,Smartwool Men's PhD Smartloft Divide Full Zip,200.0,78.8,121.2
369,2025-06-20,280,China,F,42,Search,Women,Outerwear & Coats,Neon Buddha,Neon Buddha Women's Perfect Fit Katelyn Car Jacket,94.0,40.04,53.96
373,2024-09-16,282,United States,M,49,Search,Men,Shorts,Marc Ecko Cut & Sew,Marc Ecko Cut & Sew Men's Backlit Short,36.99,19.35,17.64
375,2025-08-21,283,Belgium,M,46,Search,Men,Accessories,Tom Ford,Tom Ford Marko FT0144 Sunglasses - 18V Shiny Rhodium (Blue L,296.45,104.65,191.8
377,2025-01-20,285,United States,M,52,Search,Men,Sweaters,Marc Ecko Cut & Sew,Marc Ecko Cut & Sew Men's Solid Jersey Cardigan,59.5,28.56,30.94
377,2025-01-20,285,United States,M,52,Search,Men,Socks,Gold Toe,Gold Toe Men's Mercerized Cotton English Rib Non Elastic,25.0,16.25,8.75
379,2025-02-19,286,Spain,F,63,Organic,Women,Fashion Hoodies & Sweatshirts,Jon & Anna,Orange Hooded Fleece Lined Zip Up Hoodie Jacket,22.99,10.44,12.55
379,2025-02-17,286,Spain,F,63,Organic,Women,Blazers & Jackets,Jones New York,Jones New York Women's Button Jacket,99.5,41.09,58.41
379,2025-02-18,286,Spain,F,63,Organic,Women,Maternity,Le Mystere,Le Mystere Women's Sexy Mama Nursing Bra,66.0,28.18,37.82
379,2025-02-20,286,Spain,F,63,Organic,Women,Maternity,A Pea in the Pod,A Pea in the Pod: Secret Fit Belly(r) Jersey Knit Maternity ,35.0,16.77,18.23
384,2025-02-21,288,South Korea,M,57,Search,Men,Accessories,Ray-Ban,Ray-Ban RB3362 Cockpit Sunglasses,99.52,37.52,62.0
389,2025-02-17,293,Brasil,M,47,Search,Men,Shorts,River Road,Grand River Big Mens Comfort Stretch Twill Short,24.88,12.54,12.34
